4046,4225,4770,month,type,year,region
1036.74,54454.85,48.16,1,conventional,2015,Albany
674.28,44638.81,58.33,2,conventional,2015,Albany
794.7,109149.67,130.5,3,conventional,2015,Albany
1132,71976.41,72.58,4,conventional,2015,Albany
941.48,43838.39,75.78,5,conventional,2015,Albany
1184.27,48067.99,43.61,6,conventional,2015,Albany
1368.92,73672.72,93.26,7,conventional,2015,Albany
703.75,101815.36,80,8,conventional,2015,Albany
1022.15,87315.57,85.34,9,conventional,2015,Albany
842.4,64757.44,113,10,conventional,2015,Albany
924.86,75595.85,117.07,11,conventional,2015,Albany
1582.03,52677.92,105.32,12,conventional,2015,Albany
